id,name,shop_url,agb_url;
921,Decathlon Sportspezialvertriebs GmbH,www.decathlon.de,https://www.decathlon.de/landing/_/R-a-agb
922,MACTRADE Computerhandelsgesellschaft mbH,www.mactrade.de,https://www.mactrade.de/agb
923,UWFUN GmbH,www.uwfun24.de,https://www.uwfun24.de/AGB
924,A & K 10.000 - Hausgeräte und Küchen GmbH,www.ak10000-shop.de,https://www.ak10000-shop.de/ak10000/agb/
925,Versandapotheke der Stifts-Apotheke,www.apotheker.com,https://www.apotheker.com/content/allgemeine-geschaeftsbedingungen.56.html
926,Martin Gläser,www.idealo.de,https://www.idealo.de/preisvergleich/Shop/28906.html
927,Lucky Bike.de GmbH,www.lucky-bike.de,https://www.lucky-bike.de/.cms/Fahrrad/Fahrraeder/Bike/8-1/?aid=idealo
928,Audio Forum HiFi-Studios GmbH,www.audioforum-berlin.de,https://www.audioforum-berlin.de/de/CS/AGB
929,Marco Wünschmann,www.welectron.com,https://www.welectron.com/AGB
930,Wunderkopf GmbH,www.wunderkopf.de,https://www.wunderkopf.de/agb.html
931,Kamera-Fotohaus GmbH,www.kamera-fotohaus.de,https://www.kamera-fotohaus.de/allgemeine-geschaftsbedingungen
932,Bad Onlinevertrieb GmbH,www.badquadrat.de,https://www.badquadrat.de/agb.html
933,International Electronic Trade - SearchBuy e.U. - Inhaber: Peter Winkler,www.handy-tuning.com,https://www.handy-tuning.com/info/agb
934,PHOTO PORST Neuwied Inh. Dieter Grünhäuser,photo-porst-neuwied.rf-webworld.de,https://photo-porst-neuwied.rf-webworld.de/info/agb
935,MD-Sound GmbH & Co. KG,www.md-sound.de,https://www.md-sound.de/AGB
936,Universal Needs Ralf Werner Online-Handel - Ralf Werner,www.solarleuchten24.de,https://www.solarleuchten24.de/agb.htm
937,Solo Entertainment e.K.,www.solo-entertainment.de,http://www.solo-entertainment.de/AGB:_:3.html
938,Tobias Krist,www.creoven.de,https://www.creoven.de/content/agb/
939,International Eyewear GmbH,www.linsenpate.de,https://www.linsenpate.de/account/legalterms.html
940,Taschenkaufhaus GmbH,www.taschenkaufhaus.de,https://www.taschenkaufhaus.de/agb.html
941,FamilienBande GmbH,www.familienbande.com,http://www.familienbande.com/agb
942,Klaus Senoner,www.alarm-technik.eu,https://www.alarm-technik.eu/de/unsere-agb
943,Johannes Hellebusch,www.batterie100.de,https://www.batterie100.de/agb
944,ZOXS GmbH,www.buyzoxs.de,https://www.buyzoxs.de/agb-widerrufsbelehrung.html
945,multimedia connect - Antonino Bosco,multimedia-connect.info,http://multimedia-connect.info/info/allgemeine-geschaeftsbedingungen.html
946,OnlineStore-John,www.onlinestore-john.de,https://www.onlinestore-john.de/conditions.php
947,EMCOM GmbH,www.akku500.de,https://www.akku500.de/AGB
948,V & S Vertriebs- und Service GmbH & Co. KG,www.online-batterien.de,https://www.online-batterien.de/shop/AGB
949,Katrin Stoll,www.stoll-espresso.de,https://www.stoll-espresso.de/agb
950,Asaboshi Systems GmbH,asaboshisystems.de,https://asaboshisystems.de/agb.htm
951,baumarkt direkt GmbH & Co KG,www.hagebau.de,https://www.hagebau.de/agb/
952,Neon Computer GmbH,www.neon24.de,https://www.neon24.de/AGB
953,E&R Software GmbH,er-games.shop,https://er-games.shop/index.php?id_cms=3&controller=cms
954,Dehner Gartencenter GmbH & Co. KG,www.dehner.de,https://www.dehner.de/service/agb/
955,A. Leistenschneider GmbH & Co. KG,www.foto-leistenschneider.de,https://www.foto-leistenschneider.de/foto/de/wir/agb/
956,BikeFast GmbH,www.powermetershop.de,https://www.powermetershop.de/agb
957,PHD GmbH,phd-shop.de,http://phd-shop.de/info/allgemeine-geschaeftsbedingungen.html
958,SVG Medizinsysteme GmbH & CO. KG,www.svggermany.de,https://www.svggermany.de/agb.html
959,Sächsische Handelsagentur Holger Gutseel e.K.,messfreunde.de,http://messfreunde.de/agb-ms/
960,Haus- & Gartenwelt Handels GmbH,haus-gartenwelt.at,https://haus-gartenwelt.at/info/allgemeine-geschaeftsbedingungen.html
961,E.U.M. GmbH,www.bq-warehouse.de,https://www.bq-warehouse.de/agb
962,Der Energiesparladen - Inhaber: Dr. Siegbert Merkle,www.derenergiesparladen.de,http://www.derenergiesparladen.de/agb.php?lang=de
963,Esters GmbH,www.uhrcenter.de,https://www.uhrcenter.de/de/conditions/terms_and_conditions_plain.htm
964,Tinten-Shop Wismar,www.druckerpatronen-guenstiger.de,http://www.druckerpatronen-guenstiger.de/shop_content.php?coID=3&XTCsid=2793a086732a40c89b0afd217a1e0f13
965,SHOP4YOU GmbH,www.shop4you.de,https://www.shop4you.de/agb/
966,Inhaber: Hubert Schwentner,www.all24.at,https://www.all24.at/agb/
