id,name,shop_url,agb_url;;;;;;
140,Sporthaus Redler GmbH,www.sport-redler.de,https://www.sport-redler.de/agb.php;;;;;;
141,CSC Spretz GmbH,www.reifentiefpreis24.de,https://www.reifentiefpreis24.de/conditions.php;;;;;;
142,Thomas Steindorf - Sabath e.K,www.fotoversand24.de,http://www.fotoversand24.de/agb/;;;;;;
143,REIFF Reifen und Autotechnik GmbH,www.reifendiscount.at,http://www.reifendiscount.at/de/content/agb.html;;;;;;
144,Bodfeld-Apotheke e.K.,www.bodfeld-apotheke.de,https://www.bodfeld-apotheke.de/content/agb.1001.html;;;;;;
145,7rabbits Handels Ges.m.b.H.,www.sevenrabbits.de,https://www.sevenrabbits.de/de/cms/agb;;;;;;
146,VitaApotheke Versand,vitaapotheke.eu,http://vitaapotheke.eu/conditions.php;;;;;;
147,Drogerie-Depot E-Commerce GmbH,www.drogeriedepot.de,http://www.drogeriedepot.de/impressum.php?id=2;;;;;;
148,Vera Lambrecht,www.top-und-preiswert.de,http://www.top-und-preiswert.de/agb;;;;;;
149,SurfFact GmbH,www.surffact.de,http://www.surffact.de/de/Unsere-AGB.html;;;;;;
150,LeuchtenZentrale GmbH,www.leuchte.de,http://www.leuchte.de/agb;;;;;;
151,Krähe-Versand GmbH &amp; Co. KG,www.kraehe.de,http://www.kraehe.de/AGB/;;;;;
152,MKG-Innovations Group GmbH &amp; Co. KG,www.elektrogeraete-co.de,http://www.elektrogeraete-co.de/shop/unternehmen_agb;;;;;
153,Ten Dance Media Verlag e.K.,www.grooves.land,http://www.grooves.land/conditions.php;;;;;;
154,Leine Apotheke Jakob Herzog e.K.,www.aposalis.de,http://www.aposalis.de/informationen/db/AGB.html;;;;;;
155,IPC Computer Deutschland GmbH,www.ipc-computer.de,https://www.ipc-computer.de/conditions.php;;;;;;
156,SVH Handels-GmbH,www.svh24.de,http://www.svh24.de/agb;;;;;;
157,Danto GmbH,www.danto.de,https://www.danto.de/AGB/;;;;;;
158,Projektor AG,www.beamer-discount.de,http://www.beamer-discount.de/agb_content.html;;;;;;
159,Markus Felber,www.moebel-universum.de,http://www.moebel-universum.de/agb;;;;;;
160,CSMusiksysteme GmbH,csmusiksysteme.net,http://csmusiksysteme.net/AGB/;;;;;;
161,goodwheel GmbH,www.goodwheel.de,https://www.goodwheel.de/agb/;;;;;;
162,Stifts-Apotheke e.K. Inhaberin Christiane Bülow-Bichler,www.medpex.de,https://www.medpex.de/support/help/article/view/38/8/agb-allgemeine-geschaeftsbedingungen;;;;;;
163,ipill.de - Versandapotheke der Adler-Apotheke,www.ipill.de,http://www.ipill.de/informationen/impressum/agbs.html;;;;;;
164,System Com 99 e.K. - Inhaber Markus Müller,www.besserepreise.com,https://www.besserepreise.com/agb-&-kundeninfo.htm;;;;;;
165,ukw24 GmbH,www.tecedo.de,https://www.tecedo.de/agb;;;;;;
166,Skandic GmbH,www.skandic.de,https://www.skandic.de/de/_/p-SN_CustomerInfo?sslCall=true&sidSKANDIC=gjidhcquagonua61m72qi1tp9hrunv76;;;;;;
167,Markenkoffer GmbH,www.markenkoffer.de,https://www.markenkoffer.de/AGB/;;;;;;
168,AC-FOTO Handels GmbH,www.ac-foto.com,https://www.ac-foto.com/onlineshop/ac-foto/index.php?section=agb;;;;;;
169,Sportgigant Lindpointner GmbH &amp; Co KG,sportgigant.at,http://sportgigant.at/store/cms.php?id_cms=3?id_cms=3;;;;;
170,MKG-Innovations Group GmbH &amp; Co. KG,www.elektrogeraeteshop.de,https://www.elektrogeraeteshop.de/FAQ;;;;;
171,PEARL.GmbH,www.pearl.de,http://www.pearl.de/infos/agb.htm;;;;;;
172,Krähe-Versand GmbH &amp; Co. KG,www.world-of-western.com,http://www.world-of-western.com/shop/?00000000000000ad0051006f0000004c000004c5&navid=103&prevnavid=103&currblock=1;;;;;
173,easyApotheke Versand,www.easyapotheke.de,http://www.easyapotheke.de/content/de/AGB.html;;;;;;
174,ABH-Nord GmbH,batterie24.de,http://batterie24.de/abg;;;;;;
